17	5

280.268	-141.353	-481.247	468.705	-138.515
154.89	-111.33	-140.811	335.74	-235.695
520.75	-195.946	-149.164	20.634	-175.742
485.602	-219.402	-111.829	-865.965	-662.974
516.497	-223.96	-435.639	-681.944	-180.47
524.397	-139.696	-183.381	-830.626	-115.378
461.747	-929.446	-475.494	-135.082	-187.312
489.592	-372.624	-464.721	140.803	-70.218
7597.4	-2603.82	-1710.36	-1583.92	-1694.4
-3055.11	-3299.42	-4665.56	18461.3	-7443.55
441.703	0.763892	911.882	-128.77	-407.495
671.064	-114.593	-664.775	0.00230868	0.796188
-138.12	-125.978	205.583	321.492	-687.085
0.13149	-0.280286	-0.893662	431.774	174.025
149.395	-120.858	-0.810052	0.326324	-16.947
550.016	167.576	-139.036	149.818	-820.749
865.796	-489.738	-280.817	199.627	-344.876


